code,category,long_description,short_description
78596,1,,Nuclear medicine
78649,1,,Nuclear medicine
78654,1,,Nuclear medicine
78691,1,,Nuclear medicine
78693,1,,Nuclear medicine
78805,1,,Nuclear medicine
78891,1,,Nuclear medicine
78915,1,,Nuclear medicine
78923,1,,Nuclear medicine
79017,1,,Nuclear medicine
79028,1,,Nuclear medicine
79048,1,,Nuclear medicine
79092,1,,Nuclear medicine
79202,1,,Nuclear medicine
79232,1,,Nuclear medicine
79267,1,,Nuclear medicine
79298,1,,Nuclear medicine
79340,1,,Nuclear medicine
79362,1,,Nuclear medicine
79366,1,,Nuclear medicine
79370,1,,Nuclear medicine
79371,1,,Nuclear medicine
79391,1,,Nuclear medicine
79542,1,,Nuclear medicine
79549,1,,Nuclear medicine
79569,1,,Nuclear medicine
79632,1,,Nuclear medicine
79699,1,,Nuclear medicine
79740,1,,Nuclear medicine
79946,1,,Nuclear medicine
78182,1,,Nuclear medicine
78198,1,,Nuclear medicine
78206,1,,Nuclear medicine
78219,1,,Nuclear medicine
78296,1,,Nuclear medicine
78333,1,,Nuclear medicine
78337,1,,Nuclear medicine
78395,1,,Nuclear medicine
78405,1,,Nuclear medicine
78422,1,,Nuclear medicine
78461,1,,Nuclear medicine
78492,1,,Nuclear medicine
78568,1,,Nuclear medicine
78571,1,,Nuclear medicine
78615,1,,Nuclear medicine
78730,1,,Nuclear medicine
78792,1,,Nuclear medicine
78892,1,,Nuclear medicine
78963,1,,Nuclear medicine
78991,1,,Nuclear medicine
79002,1,,Nuclear medicine
79013,1,,Nuclear medicine
79033,1,,Nuclear medicine
79124,1,,Nuclear medicine
79149,1,,Nuclear medicine
79152,1,,Nuclear medicine
79165,1,,Nuclear medicine
79186,1,,Nuclear medicine
79188,1,,Nuclear medicine
79307,1,,Nuclear medicine
79430,1,,Nuclear medicine
79526,1,,Nuclear medicine
79586,1,,Nuclear medicine
79604,1,,Nuclear medicine
79738,1,,Nuclear medicine
79813,1,,Nuclear medicine
79873,1,,Nuclear medicine
79983,1,,Nuclear medicine
79988,1,,Nuclear medicine
79998,1,,Nuclear medicine
78051,1,,Nuclear medicine
78091,1,,Nuclear medicine
78268,1,,Nuclear medicine
78281,1,,Nuclear medicine
78288,1,,Nuclear medicine
78313,1,,Nuclear medicine
78504,1,,Nuclear medicine
78523,1,,Nuclear medicine
78543,1,,Nuclear medicine
78584,1,,Nuclear medicine
78665,1,,Nuclear medicine
78689,1,,Nuclear medicine
78696,1,,Nuclear medicine
78704,1,,Nuclear medicine
78713,1,,Nuclear medicine
78746,1,,Nuclear medicine
78763,1,,Nuclear medicine
78874,1,,Nuclear medicine
78895,1,,Nuclear medicine
78909,1,,Nuclear medicine
78920,1,,Nuclear medicine
78951,1,,Nuclear medicine
78952,1,,Nuclear medicine
79153,1,,Nuclear medicine
79183,1,,Nuclear medicine
79300,1,,Nuclear medicine
79303,1,,Nuclear medicine
79373,1,,Nuclear medicine
79377,1,,Nuclear medicine
79400,1,,Nuclear medicine
79423,1,,Nuclear medicine
79462,1,,Nuclear medicine
79619,1,,Nuclear medicine
79644,1,,Nuclear medicine
79669,1,,Nuclear medicine
79690,1,,Nuclear medicine
79701,1,,Nuclear medicine
79711,1,,Nuclear medicine
79772,1,,Nuclear medicine
79787,1,,Nuclear medicine
79829,1,,Nuclear medicine
79830,1,,Nuclear medicine
79849,1,,Nuclear medicine
79919,1,,Nuclear medicine
78007,1,,Nuclear medicine
78019,1,,Nuclear medicine
78070,1,,Nuclear medicine
78185,1,,Nuclear medicine
78222,1,,Nuclear medicine
78226,1,,Nuclear medicine
78244,1,,Nuclear medicine
78277,1,,Nuclear medicine
78283,1,,Nuclear medicine
78440,1,,Nuclear medicine
78459,1,,Nuclear medicine
78527,1,,Nuclear medicine
78607,1,,Nuclear medicine
78668,1,,Nuclear medicine
78690,1,,Nuclear medicine
78700,1,,Nuclear medicine
78765,1,,Nuclear medicine
78795,1,,Nuclear medicine
78852,1,,Nuclear medicine
78857,1,,Nuclear medicine
78866,1,,Nuclear medicine
78877,1,,Nuclear medicine
78918,1,,Nuclear medicine
78929,1,,Nuclear medicine
78985,1,,Nuclear medicine
78994,1,,Nuclear medicine
79022,1,,Nuclear medicine
79120,1,,Nuclear medicine
79187,1,,Nuclear medicine
79305,1,,Nuclear medicine
79536,1,,Nuclear medicine
79574,1,,Nuclear medicine
79587,1,,Nuclear medicine
79607,1,,Nuclear medicine
79655,1,,Nuclear medicine
79664,1,,Nuclear medicine
79696,1,,Nuclear medicine
79780,1,,Nuclear medicine
79911,1,,Nuclear medicine
79960,1,,Nuclear medicine
78152,1,,Nuclear medicine
78159,1,,Nuclear medicine
78214,1,,Nuclear medicine
78254,1,,Nuclear medicine
78286,1,,Nuclear medicine
78302,1,,Nuclear medicine
78315,1,,Nuclear medicine
78380,1,,Nuclear medicine
78392,1,,Nuclear medicine
78414,1,,Nuclear medicine
78423,1,,Nuclear medicine
78454,1,,Nuclear medicine
78487,1,,Nuclear medicine
78533,1,,Nuclear medicine
78536,1,,Nuclear medicine
78542,1,,Nuclear medicine
78554,1,,Nuclear medicine
78598,1,,Nuclear medicine
78622,1,,Nuclear medicine
78645,1,,Nuclear medicine
78710,1,,Nuclear medicine
78754,1,,Nuclear medicine
78791,1,,Nuclear medicine
78894,1,,Nuclear medicine
78981,1,,Nuclear medicine
79062,1,,Nuclear medicine
79110,1,,Nuclear medicine
79121,1,,Nuclear medicine
79196,1,,Nuclear medicine
79200,1,,Nuclear medicine
79222,1,,Nuclear medicine
79243,1,,Nuclear medicine
79246,1,,Nuclear medicine
79254,1,,Nuclear medicine
79306,1,,Nuclear medicine
79378,1,,Nuclear medicine
79392,1,,Nuclear medicine
79439,1,,Nuclear medicine
79482,1,,Nuclear medicine
79682,1,,Nuclear medicine
79721,1,,Nuclear medicine
79763,1,,Nuclear medicine
79828,1,,Nuclear medicine
79893,1,,Nuclear medicine
79949,1,,Nuclear medicine
79966,1,,Nuclear medicine
78076,1,,Nuclear medicine
78118,1,,Nuclear medicine
78129,1,,Nuclear medicine
78144,1,,Nuclear medicine
78183,1,,Nuclear medicine
78274,1,,Nuclear medicine
78326,1,,Nuclear medicine
78328,1,,Nuclear medicine
78332,1,,Nuclear medicine
78394,1,,Nuclear medicine
78447,1,,Nuclear medicine
78498,1,,Nuclear medicine
78535,1,,Nuclear medicine
78594,1,,Nuclear medicine
78603,1,,Nuclear medicine
78624,1,,Nuclear medicine
78766,1,,Nuclear medicine
78771,1,,Nuclear medicine
79019,1,,Nuclear medicine
79021,1,,Nuclear medicine
79055,1,,Nuclear medicine
79085,1,,Nuclear medicine
79087,1,,Nuclear medicine
79227,1,,Nuclear medicine
79360,1,,Nuclear medicine
79467,1,,Nuclear medicine
79539,1,,Nuclear medicine
79625,1,,Nuclear medicine
79784,1,,Nuclear medicine
79864,1,,Nuclear medicine
79910,1,,Nuclear medicine
79925,1,,Nuclear medicine
79944,1,,Nuclear medicine
79996,1,,Nuclear medicine
78038,1,,Nuclear medicine
78046,1,,Nuclear medicine
78093,1,,Nuclear medicine
78221,1,,Nuclear medicine
78240,1,,Nuclear medicine
78282,1,,Nuclear medicine
78318,1,,Nuclear medicine
78330,1,,Nuclear medicine
78373,1,,Nuclear medicine
78384,1,,Nuclear medicine
78411,1,,Nuclear medicine
78685,1,,Nuclear medicine
78732,1,,Nuclear medicine
78814,1,,Nuclear medicine
78873,1,,Nuclear medicine
78879,1,,Nuclear medicine
78934,1,,Nuclear medicine
78949,1,,Nuclear medicine
79040,1,,Nuclear medicine
79079,1,,Nuclear medicine
79091,1,,Nuclear medicine
79094,1,,Nuclear medicine
79112,1,,Nuclear medicine
79199,1,,Nuclear medicine
79209,1,,Nuclear medicine
79210,1,,Nuclear medicine
79211,1,,Nuclear medicine
79337,1,,Nuclear medicine
79355,1,,Nuclear medicine
79535,1,,Nuclear medicine
79547,1,,Nuclear medicine
79565,1,,Nuclear medicine
79615,1,,Nuclear medicine
79733,1,,Nuclear medicine
79746,1,,Nuclear medicine
79797,1,,Nuclear medicine
79851,1,,Nuclear medicine
79921,1,,Nuclear medicine
79932,1,,Nuclear medicine
79948,1,,Nuclear medicine
79975,1,,Nuclear medicine
78017,1,,Nuclear medicine
78068,1,,Nuclear medicine
78140,1,,Nuclear medicine
78157,1,,Nuclear medicine
78209,1,,Nuclear medicine
78258,1,,Nuclear medicine
78272,1,,Nuclear medicine
78300,1,,Nuclear medicine
78359,1,,Nuclear medicine
78425,1,,Nuclear medicine
78448,1,,Nuclear medicine
78503,1,,Nuclear medicine
78650,1,,Nuclear medicine
78756,1,,Nuclear medicine
78798,1,,Nuclear medicine
78902,1,,Nuclear medicine
78922,1,,Nuclear medicine
78940,1,,Nuclear medicine
79111,1,,Nuclear medicine
79193,1,,Nuclear medicine
79212,1,,Nuclear medicine
79326,1,,Nuclear medicine
79422,1,,Nuclear medicine
79426,1,,Nuclear medicine
79464,1,,Nuclear medicine
79474,1,,Nuclear medicine
79498,1,,Nuclear medicine
79617,1,,Nuclear medicine
79783,1,,Nuclear medicine
79800,1,,Nuclear medicine
79814,1,,Nuclear medicine
79874,1,,Nuclear medicine
79922,1,,Nuclear medicine
79984,1,,Nuclear medicine
78000,1,,Nuclear medicine
78043,1,,Nuclear medicine
78235,1,,Nuclear medicine
78257,1,,Nuclear medicine
78307,1,,Nuclear medicine
78309,1,,Nuclear medicine
78327,1,,Nuclear medicine
78474,1,,Nuclear medicine
78537,1,,Nuclear medicine
78576,1,,Nuclear medicine
78632,1,,Nuclear medicine
78709,1,,Nuclear medicine
78768,1,,Nuclear medicine
78781,1,,Nuclear medicine
78836,1,,Nuclear medicine
78903,1,,Nuclear medicine
78956,1,,Nuclear medicine
78965,1,,Nuclear medicine
79032,1,,Nuclear medicine
79063,1,,Nuclear medicine
79076,1,,Nuclear medicine
79077,1,,Nuclear medicine
79096,1,,Nuclear medicine
79104,1,,Nuclear medicine
79208,1,,Nuclear medicine
79223,1,,Nuclear medicine
79454,1,,Nuclear medicine
79484,1,,Nuclear medicine
79501,1,,Nuclear medicine
79583,1,,Nuclear medicine
79592,1,,Nuclear medicine
79611,1,,Nuclear medicine
79715,1,,Nuclear medicine
79719,1,,Nuclear medicine
79858,1,,Nuclear medicine
79859,1,,Nuclear medicine
79871,1,,Nuclear medicine
79878,1,,Nuclear medicine
79885,1,,Nuclear medicine
79980,1,,Nuclear medicine
79990,1,,Nuclear medicine
89118,1,,Other procedures
89136,1,,Other procedures
89194,1,,Other procedures
01996,1,,Other procedures
89094,1,,Other procedures
89121,1,,Other procedures
89123,1,,Other procedures
89208,1,,Other procedures
89150,1,,Other procedures
89165,1,,Other procedures
89170,1,,Other procedures
89209,1,,Other procedures
89116,1,,Other procedures
89171,1,,Other procedures
89214,1,,Other procedures
89234,1,,Other procedures
89240,1,,Other procedures
89079,1,,Other procedures
89137,1,,Other procedures
89139,1,,Other procedures
89072,1,,Other procedures
89074,1,,Other procedures
89096,1,,Other procedures
89102,1,,Other procedures
89145,1,,Other procedures
89187,1,,Other procedures
89054,1,,Other procedures
89153,1,,Other procedures
89174,1,,Other procedures
89177,1,,Other procedures
89188,1,,Other procedures
89192,1,,Other procedures
89221,1,,Other procedures
89223,1,,Other procedures
89175,1,,Other procedures
89183,1,,Other procedures
89055,1,,Other procedures
89179,1,,Other procedures
89181,1,,Other procedures
89103,1,,Other procedures
89114,1,,Other procedures
89126,1,,Other procedures
89109,1,,Other procedures
01998,1,,Other procedures
89062,1,,Other procedures
89100,1,,Other procedures
89115,1,,Other procedures
89120,1,,Other procedures
89152,1,,Other procedures
89154,1,,Other procedures
89158,1,,Other procedures
89230,1,,Other procedures
89231,1,,Other procedures
89135,1,,Other procedures
89195,1,,Other procedures
89178,1,,Other procedures
89218,1,,Other procedures
89128,1,,Other procedures
89155,1,,Other procedures
89166,1,,Other procedures
89197,1,,Other procedures
89212,1,,Other procedures
89220,1,,Other procedures
89225,1,,Other procedures
89063,1,,Other procedures
89093,1,,Other procedures
89134,1,,Other procedures
01992,1,,Other procedures
89056,1,,Other procedures
89131,1,,Other procedures
89132,1,,Other procedures
89219,1,,Other procedures
89228,1,,Other procedures
89232,1,,Other procedures
89080,1,,Other procedures
89151,1,,Other procedures
01990,1,,Other procedures
89050,1,,Other procedures
89182,1,,Other procedures
89149,1,,Other procedures
89163,1,,Other procedures
89184,1,,Other procedures
89196,1,,Other procedures
89226,1,,Other procedures
01995,1,,Other procedures
89052,1,,Other procedures
89130,1,,Other procedures
89133,1,,Other procedures
89160,1,,Other procedures
89164,1,,Other procedures
89211,1,,Other procedures
89217,1,,Other procedures
89239,1,,Other procedures
89057,1,,Other procedures
89071,1,,Other procedures
89095,1,,Other procedures
89106,1,,Other procedures
89119,1,,Other procedures
89159,1,,Other procedures
89173,1,,Other procedures
89204,1,,Other procedures
89238,1,,Other procedures
89083,1,,Other procedures
89091,1,,Other procedures
89146,1,,Other procedures
89161,1,,Other procedures
89068,1,,Other procedures
89084,1,,Other procedures
89205,1,,Other procedures
01997,1,,Other procedures
89075,1,,Other procedures
89098,1,,Other procedures
89110,1,,Other procedures
89235,1,,Other procedures
89061,1,,Other procedures
89066,1,,Other procedures
89067,1,,Other procedures
89097,1,,Other procedures
89104,1,,Other procedures
89108,1,,Other procedures
89111,1,,Other procedures
89122,1,,Other procedures
89186,1,,Other procedures
89105,1,,Other procedures
89117,1,,Other procedures
89167,1,,Other procedures
89082,1,,Other procedures
89148,1,,Other procedures
89157,1,,Other procedures
89199,1,,Other procedures
89233,1,,Other procedures
89107,1,,Other procedures
89138,1,,Other procedures
89141,1,,Other procedures
89203,1,,Other procedures
01999,1,,Other procedures
89058,1,,Other procedures
89051,1,,Other procedures
89073,1,,Other procedures
89078,1,,Other procedures
89210,1,,Other procedures
89227,1,,Other procedures
89060,1,,Other procedures
89081,1,,Other procedures
89112,1,,Other procedures
89229,1,,Other procedures
89140,1,,Other procedures
89144,1,,Other procedures
89185,1,,Other procedures
89215,1,,Other procedures
89070,1,,Other procedures
89086,1,,Other procedures
89090,1,,Other procedures
01994,1,,Other procedures
89069,1,,Other procedures
89076,1,,Other procedures
89085,1,,Other procedures
89087,1,,Other procedures
89147,1,,Other procedures
89156,1,,Other procedures
89169,1,,Other procedures
89176,1,,Other procedures
89180,1,,Other procedures
89216,1,,Other procedures
89172,1,,Other procedures
89202,1,,Other procedures
89213,1,,Other procedures
89224,1,,Other procedures
89236,1,,Other procedures
89077,1,,Other procedures
89124,1,,Other procedures
89125,1,,Other procedures
89143,1,,Other procedures
89198,1,,Other procedures
89207,1,,Other procedures
89237,1,,Other procedures
89065,1,,Other procedures
89101,1,,Other procedures
01991,1,,Other procedures
01993,1,,Other procedures
89142,1,,Other procedures
89162,1,,Other procedures
89191,1,,Other procedures
89193,1,,Other procedures
89049,1,,Other procedures
89089,1,,Other procedures
89127,1,,Other procedures
89168,1,,Other procedures
89189,1,,Other procedures
89200,1,,Other procedures
89206,1,,Other procedures
89064,1,,Other procedures
89088,1,,Other procedures
89099,1,,Other procedures
89129,1,,Other procedures
89190,1,,Other procedures
89222,1,,Other procedures
89053,1,,Other procedures
89059,1,,Other procedures
89092,1,,Other procedures
89113,1,,Other procedures
89201,1,,Other procedures
90521,1,,"Vaccines,toxoids"
90586,1,,"Vaccines,toxoids"
90666,1,,"Vaccines,toxoids"
90676,1,,"Vaccines,toxoids"
90514,1,,"Vaccines,toxoids"
90568,1,,"Vaccines,toxoids"
90601,1,,"Vaccines,toxoids"
90663,1,,"Vaccines,toxoids"
90695,1,,"Vaccines,toxoids"
90731,1,,"Vaccines,toxoids"
90496,1,,"Vaccines,toxoids"
90554,1,,"Vaccines,toxoids"
90683,1,,"Vaccines,toxoids"
90709,1,,"Vaccines,toxoids"
90714,1,,"Vaccines,toxoids"
90592,1,,"Vaccines,toxoids"
90595,1,,"Vaccines,toxoids"
90621,1,,"Vaccines,toxoids"
90646,1,,"Vaccines,toxoids"
90492,1,,"Vaccines,toxoids"
90499,1,,"Vaccines,toxoids"
90502,1,,"Vaccines,toxoids"
90540,1,,"Vaccines,toxoids"
90572,1,,"Vaccines,toxoids"
90581,1,,"Vaccines,toxoids"
90606,1,,"Vaccines,toxoids"
90627,1,,"Vaccines,toxoids"
90495,1,,"Vaccines,toxoids"
90696,1,,"Vaccines,toxoids"
90700,1,,"Vaccines,toxoids"
90508,1,,"Vaccines,toxoids"
90742,1,,"Vaccines,toxoids"
90744,1,,"Vaccines,toxoids"
90519,1,,"Vaccines,toxoids"
90529,1,,"Vaccines,toxoids"
90582,1,,"Vaccines,toxoids"
90607,1,,"Vaccines,toxoids"
90668,1,,"Vaccines,toxoids"
90715,1,,"Vaccines,toxoids"
90724,1,,"Vaccines,toxoids"
90480,1,,"Vaccines,toxoids"
90530,1,,"Vaccines,toxoids"
90552,1,,"Vaccines,toxoids"
90691,1,,"Vaccines,toxoids"
90517,1,,"Vaccines,toxoids"
90534,1,,"Vaccines,toxoids"
90549,1,,"Vaccines,toxoids"
90553,1,,"Vaccines,toxoids"
90569,1,,"Vaccines,toxoids"
90590,1,,"Vaccines,toxoids"
90630,1,,"Vaccines,toxoids"
90665,1,,"Vaccines,toxoids"
90692,1,,"Vaccines,toxoids"
90738,1,,"Vaccines,toxoids"
90629,1,,"Vaccines,toxoids"
90657,1,,"Vaccines,toxoids"
90670,1,,"Vaccines,toxoids"
90717,1,,"Vaccines,toxoids"
90737,1,,"Vaccines,toxoids"
90551,1,,"Vaccines,toxoids"
90642,1,,"Vaccines,toxoids"
90653,1,,"Vaccines,toxoids"
90681,1,,"Vaccines,toxoids"
90739,1,,"Vaccines,toxoids"
90507,1,,"Vaccines,toxoids"
90532,1,,"Vaccines,toxoids"
90652,1,,"Vaccines,toxoids"
90655,1,,"Vaccines,toxoids"
90726,1,,"Vaccines,toxoids"
90488,1,,"Vaccines,toxoids"
90626,1,,"Vaccines,toxoids"
90656,1,,"Vaccines,toxoids"
90682,1,,"Vaccines,toxoids"
90721,1,,"Vaccines,toxoids"
90505,1,,"Vaccines,toxoids"
90547,1,,"Vaccines,toxoids"
90677,1,,"Vaccines,toxoids"
90484,1,,"Vaccines,toxoids"
90593,1,,"Vaccines,toxoids"
90664,1,,"Vaccines,toxoids"
90685,1,,"Vaccines,toxoids"
90712,1,,"Vaccines,toxoids"
90481,1,,"Vaccines,toxoids"
90486,1,,"Vaccines,toxoids"
90511,1,,"Vaccines,toxoids"
90574,1,,"Vaccines,toxoids"
90614,1,,"Vaccines,toxoids"
90669,1,,"Vaccines,toxoids"
90672,1,,"Vaccines,toxoids"
90674,1,,"Vaccines,toxoids"
90702,1,,"Vaccines,toxoids"
90525,1,,"Vaccines,toxoids"
90585,1,,"Vaccines,toxoids"
90619,1,,"Vaccines,toxoids"
90636,1,,"Vaccines,toxoids"
90647,1,,"Vaccines,toxoids"
90658,1,,"Vaccines,toxoids"
90659,1,,"Vaccines,toxoids"
90684,1,,"Vaccines,toxoids"
90711,1,,"Vaccines,toxoids"
90730,1,,"Vaccines,toxoids"
90533,1,,"Vaccines,toxoids"
90623,1,,"Vaccines,toxoids"
90678,1,,"Vaccines,toxoids"
90725,1,,"Vaccines,toxoids"
90543,1,,"Vaccines,toxoids"
90566,1,,"Vaccines,toxoids"
90615,1,,"Vaccines,toxoids"
90648,1,,"Vaccines,toxoids"
90690,1,,"Vaccines,toxoids"
90718,1,,"Vaccines,toxoids"
90735,1,,"Vaccines,toxoids"
90526,1,,"Vaccines,toxoids"
90561,1,,"Vaccines,toxoids"
90512,1,,"Vaccines,toxoids"
90565,1,,"Vaccines,toxoids"
90594,1,,"Vaccines,toxoids"
90600,1,,"Vaccines,toxoids"
90622,1,,"Vaccines,toxoids"
90707,1,,"Vaccines,toxoids"
90723,1,,"Vaccines,toxoids"
90727,1,,"Vaccines,toxoids"
90746,1,,"Vaccines,toxoids"
90550,1,,"Vaccines,toxoids"
90559,1,,"Vaccines,toxoids"
90611,1,,"Vaccines,toxoids"
90479,1,,"Vaccines,toxoids"
90546,1,,"Vaccines,toxoids"
90588,1,,"Vaccines,toxoids"
90608,1,,"Vaccines,toxoids"
90749,1,,"Vaccines,toxoids"
90482,1,,"Vaccines,toxoids"
90509,1,,"Vaccines,toxoids"
90510,1,,"Vaccines,toxoids"
90541,1,,"Vaccines,toxoids"
90562,1,,"Vaccines,toxoids"
90628,1,,"Vaccines,toxoids"
90631,1,,"Vaccines,toxoids"
90535,1,,"Vaccines,toxoids"
90589,1,,"Vaccines,toxoids"
90597,1,,"Vaccines,toxoids"
90651,1,,"Vaccines,toxoids"
90680,1,,"Vaccines,toxoids"
90720,1,,"Vaccines,toxoids"
90728,1,,"Vaccines,toxoids"
90485,1,,"Vaccines,toxoids"
90498,1,,"Vaccines,toxoids"
90537,1,,"Vaccines,toxoids"
90556,1,,"Vaccines,toxoids"
90578,1,,"Vaccines,toxoids"
90596,1,,"Vaccines,toxoids"
90625,1,,"Vaccines,toxoids"
90491,1,,"Vaccines,toxoids"
90497,1,,"Vaccines,toxoids"
90522,1,,"Vaccines,toxoids"
90542,1,,"Vaccines,toxoids"
90570,1,,"Vaccines,toxoids"
90604,1,,"Vaccines,toxoids"
90710,1,,"Vaccines,toxoids"
90729,1,,"Vaccines,toxoids"
90520,1,,"Vaccines,toxoids"
90558,1,,"Vaccines,toxoids"
90698,1,,"Vaccines,toxoids"
90734,1,,"Vaccines,toxoids"
90515,1,,"Vaccines,toxoids"
90538,1,,"Vaccines,toxoids"
90573,1,,"Vaccines,toxoids"
90577,1,,"Vaccines,toxoids"
90618,1,,"Vaccines,toxoids"
90639,1,,"Vaccines,toxoids"
90644,1,,"Vaccines,toxoids"
90654,1,,"Vaccines,toxoids"
90745,1,,"Vaccines,toxoids"
90504,1,,"Vaccines,toxoids"
90513,1,,"Vaccines,toxoids"
90584,1,,"Vaccines,toxoids"
90599,1,,"Vaccines,toxoids"
90612,1,,"Vaccines,toxoids"
90638,1,,"Vaccines,toxoids"
90640,1,,"Vaccines,toxoids"
90487,1,,"Vaccines,toxoids"
90649,1,,"Vaccines,toxoids"
90708,1,,"Vaccines,toxoids"
90716,1,,"Vaccines,toxoids"
90494,1,,"Vaccines,toxoids"
90501,1,,"Vaccines,toxoids"
90650,1,,"Vaccines,toxoids"
90671,1,,"Vaccines,toxoids"
90689,1,,"Vaccines,toxoids"
90704,1,,"Vaccines,toxoids"
90706,1,,"Vaccines,toxoids"
90736,1,,"Vaccines,toxoids"
90645,1,,"Vaccines,toxoids"
90503,1,,"Vaccines,toxoids"
90528,1,,"Vaccines,toxoids"
90545,1,,"Vaccines,toxoids"
90580,1,,"Vaccines,toxoids"
90603,1,,"Vaccines,toxoids"
90567,1,,"Vaccines,toxoids"
90602,1,,"Vaccines,toxoids"
90605,1,,"Vaccines,toxoids"
90610,1,,"Vaccines,toxoids"
90624,1,,"Vaccines,toxoids"
90527,1,,"Vaccines,toxoids"
90563,1,,"Vaccines,toxoids"
90579,1,,"Vaccines,toxoids"
90524,1,,"Vaccines,toxoids"
90531,1,,"Vaccines,toxoids"
90632,1,,"Vaccines,toxoids"
90679,1,,"Vaccines,toxoids"
90701,1,,"Vaccines,toxoids"
90732,1,,"Vaccines,toxoids"
90740,1,,"Vaccines,toxoids"
90490,1,,"Vaccines,toxoids"
90518,1,,"Vaccines,toxoids"
90544,1,,"Vaccines,toxoids"
90557,1,,"Vaccines,toxoids"
90675,1,,"Vaccines,toxoids"
90687,1,,"Vaccines,toxoids"
90693,1,,"Vaccines,toxoids"
90722,1,,"Vaccines,toxoids"
90483,1,,"Vaccines,toxoids"
90489,1,,"Vaccines,toxoids"
90493,1,,"Vaccines,toxoids"
90576,1,,"Vaccines,toxoids"
90694,1,,"Vaccines,toxoids"
90564,1,,"Vaccines,toxoids"
90620,1,,"Vaccines,toxoids"
90634,1,,"Vaccines,toxoids"
90667,1,,"Vaccines,toxoids"
90673,1,,"Vaccines,toxoids"
90617,1,,"Vaccines,toxoids"
90697,1,,"Vaccines,toxoids"
90703,1,,"Vaccines,toxoids"
90713,1,,"Vaccines,toxoids"
90478,1,,"Vaccines,toxoids"
90500,1,,"Vaccines,toxoids"
90560,1,,"Vaccines,toxoids"
90741,1,,"Vaccines,toxoids"
90506,1,,"Vaccines,toxoids"
90688,1,,"Vaccines,toxoids"
90719,1,,"Vaccines,toxoids"
90743,1,,"Vaccines,toxoids"
90476,1,,"Vaccines,toxoids"
90523,1,,"Vaccines,toxoids"
90598,1,,"Vaccines,toxoids"
90609,1,,"Vaccines,toxoids"
90637,1,,"Vaccines,toxoids"
90662,1,,"Vaccines,toxoids"
90686,1,,"Vaccines,toxoids"
90699,1,,"Vaccines,toxoids"
90733,1,,"Vaccines,toxoids"
90748,1,,"Vaccines,toxoids"
90516,1,,"Vaccines,toxoids"
90571,1,,"Vaccines,toxoids"
90575,1,,"Vaccines,toxoids"
90587,1,,"Vaccines,toxoids"
90555,1,,"Vaccines,toxoids"
90583,1,,"Vaccines,toxoids"
90633,1,,"Vaccines,toxoids"
90536,1,,"Vaccines,toxoids"
90613,1,,"Vaccines,toxoids"
90705,1,,"Vaccines,toxoids"
90747,1,,"Vaccines,toxoids"
90477,1,,"Vaccines,toxoids"
90539,1,,"Vaccines,toxoids"
90548,1,,"Vaccines,toxoids"
90591,1,,"Vaccines,toxoids"
90616,1,,"Vaccines,toxoids"
90635,1,,"Vaccines,toxoids"
90641,1,,"Vaccines,toxoids"
90643,1,,"Vaccines,toxoids"
90660,1,,"Vaccines,toxoids"
90661,1,,"Vaccines,toxoids"
77073,1,,Bone/joint studies
77079,1,,Bone/joint studies
77074,1,,Bone/joint studies
77083,1,,Bone/joint studies
77080,1,,Bone/joint studies
77076,1,,Bone/joint studies
77082,1,,Bone/joint studies
77071,1,,Bone/joint studies
77084,1,,Bone/joint studies
77072,1,,Bone/joint studies
77081,1,,Bone/joint studies
77078,1,,Bone/joint studies
77075,1,,Bone/joint studies
77077,1,,Bone/joint studies
77051,1,,Breast mammography
77057,1,,Breast mammography
77059,1,,Breast mammography
77055,1,,Breast mammography
77058,1,,Breast mammography
77053,1,,Breast mammography
77056,1,,Breast mammography
77052,1,,Breast mammography
77054,1,,Breast mammography
70001,1,,Diagnostic imaging
70042,1,,Diagnostic imaging
70046,1,,Diagnostic imaging
70052,1,,Diagnostic imaging
70139,1,,Diagnostic imaging
70172,1,,Diagnostic imaging
70185,1,,Diagnostic imaging
70190,1,,Diagnostic imaging
70194,1,,Diagnostic imaging
70239,1,,Diagnostic imaging
70256,1,,Diagnostic imaging
70281,1,,Diagnostic imaging
70284,1,,Diagnostic imaging
70323,1,,Diagnostic imaging
70363,1,,Diagnostic imaging
70469,1,,Diagnostic imaging
70482,1,,Diagnostic imaging
70502,1,,Diagnostic imaging
70526,1,,Diagnostic imaging
70547,1,,Diagnostic imaging
70575,1,,Diagnostic imaging
70603,1,,Diagnostic imaging
70622,1,,Diagnostic imaging
70673,1,,Diagnostic imaging
70687,1,,Diagnostic imaging
70799,1,,Diagnostic imaging
70800,1,,Diagnostic imaging
70840,1,,Diagnostic imaging
70901,1,,Diagnostic imaging
70932,1,,Diagnostic imaging
70958,1,,Diagnostic imaging
70982,1,,Diagnostic imaging
71005,1,,Diagnostic imaging
71074,1,,Diagnostic imaging
71091,1,,Diagnostic imaging
71127,1,,Diagnostic imaging
71188,1,,Diagnostic imaging
71196,1,,Diagnostic imaging
71272,1,,Diagnostic imaging
71368,1,,Diagnostic imaging
71387,1,,Diagnostic imaging
71522,1,,Diagnostic imaging
71543,1,,Diagnostic imaging
71638,1,,Diagnostic imaging
71700,1,,Diagnostic imaging
71726,1,,Diagnostic imaging
71854,1,,Diagnostic imaging
71912,1,,Diagnostic imaging
