PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,DEASCHEDULE
55742-126_20250d19-6dfd-4c90-96c4-52ef2e9d8558,55742-126,BULK INGREDIENT,SCOPOLAMINE,POWDER,20140915,,BULK INGREDIENT,Alchem International Ltd,SCOPOLAMINE,1,kg/kg,
55742-127_44a7a80b-d5a9-31c5-e054-00144ff8d46c,55742-127,BULK INGREDIENT,Colchicine,POWDER,20161223,,BULK INGREDIENT,Alchem International Private Ltd,COLCHICINE,1,kg/kg,
55742-128_44a7f41b-a852-468b-e054-00144ff8d46c,55742-128,BULK INGREDIENT,Nicotine Polacrilex,POWDER,20161223,,BULK INGREDIENT,Alchem International Private Ltd,NICOTINE,1,kg/kg,
55745-0002_804f7939-d08f-47f8-9987-1ae7904f07fd,55745-0002,BULK INGREDIENT,DIMENHYDRINATE,POWDER,20160810,,BULK INGREDIENT,Shanghai Wonder Pharmaceutical Co. Ltd.,DIMENHYDRINATE,1,kg/kg,
55745-0003_886dba40-d05c-4e25-8d55-cf954bee26dd,55745-0003,BULK INGREDIENT,Ethiodized Oil,LIQUID,20141201,,BULK INGREDIENT,"Shanghai Wonder Pharmaceutical Co., Ltd",AMPROLIUM,1,kg/kg,
55745-0004_f0bed995-c27e-445d-a88d-4e3ee5f0655c,55745-0004,BULK INGREDIENT,Duloxetine Hydrochloride,POWDER,20141205,,BULK INGREDIENT,"Shanghai Wonder Pharmaceutical Co., Ltd",AMPROLIUM,1,kg/kg,
55745-0870_9baa6a03-409f-49c4-aee7-c9fa9b1765e5,55745-0870,BULK INGREDIENT,Dimercaptopropane Sulfonic Acid Sodium Salt DMPS,POWDER,20090414,,BULK INGREDIENT,Shanghai Wonder Pharmaceutical Co. Ltd.,UNITHIOL,1,kg/kg,
55773-0387_222e18e7-8bc3-6a27-e054-00144ff88e88,55773-0387,BULK INGREDIENT,Emtricitabine,POWDER,20140920,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"Shijiazhuang Lonzeal Pharmaceuticals Co., Ltd.",EMTRICITABINE,20,kg/20.4kg,
55773-0589_222e18e7-8bc3-6a27-e054-00144ff88e88,55773-0589,BULK INGREDIENT,lamivudine,POWDER,20101026,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"Shijiazhuang Lonzeal Pharmaceuticals Co., Ltd.",LAMIVUDINE,25.5,kg/25kg,
55874-3817_5658c367-77d7-4d8b-856b-b23b693859d0,55874-3817,BULK INGREDIENT,MANGANESE SULFATE,POWDER,19960125,,BULK INGREDIENT,"CHUO-DENKI KOGYO CO., LTD.",MANGANESE SULFATE,50,kg/50kg,
55897-001_4a14f59c-22b6-1619-e054-00144ff8d46c,55897-001,BULK INGREDIENT,SODIUM ACETATE,POWDER,20120217,,BULK INGREDIENT,Macco Organiques Inc,SODIUM ACETATE,100,kg/100kg,
55897-002_477f5647-9a4d-3459-e054-00144ff8d46c,55897-002,BULK INGREDIENT,CALCIUM ACETATE,POWDER,20120217,,BULK INGREDIENT,Macco Organiques Inc,CALCIUM ACETATE,100,kg/100kg,
55898-2017_b7cd918c-b80d-496d-a64d-b52dce839217,55898-2017,BULK INGREDIENT,Colloidal Bismuth Subcitrate,POWDER,20101020,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH CITRATE,1,kg/kg,
55898-2018_911383ca-e632-4506-9562-e3ff877dd685,55898-2018,BULK INGREDIENT,Bismuth Oxychloride,POWDER,20101012,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH OXYCHLORIDE,1,kg/kg,
55898-2019_8a5e14c2-bdb8-4e8c-9e47-be66648f1acd,55898-2019,BULK INGREDIENT,Bismuth Citrate,POWDER,20101013,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH CITRATE,1,kg/kg,
55898-2020_34fadb7f-e5fb-4a09-ad4f-0eb3fa15f1ed,55898-2020,BULK INGREDIENT,Bismuth Subgallate,POWDER,20101013,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH SUBGALLATE,1,kg/kg,
55898-2021_d171acf1-377c-4e14-970c-853e24b211e5,55898-2021,BULK INGREDIENT,Bismuth Subcarbonate,POWDER,20101013,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH SUBCARBONATE,1,kg/kg,
55898-2022_296ab60e-e0d3-400b-aa0e-d86aed85b803,55898-2022,BULK INGREDIENT,Bismuth Subnitrate,POWDER,20101015,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH SUBNITRATE,1,kg/kg,
55898-2023_75e16aed-e982-45bc-a283-5275bb42c722,55898-2023,BULK INGREDIENT,Bismuth Trioxide,POWDER,20101015,,BULK INGREDIENT,"Farmaquimia, SA de CV",BISMUTH OXIDE,1,kg/kg,
55898-2100_b7bc3525-9557-44b0-848c-fe002e880863,55898-2100,BULK INGREDIENT,BISMUTH SUBSALICYLATE,POWDER,20100818,,BULK INGREDIENT,"FARMAQUIMIA, SA de CV",BISMUTH SUBSALICYLATE,25,kg/25kg,
55977-100_0393a8e6-7035-4e59-ba24-ea4adf2c4e51,55977-100,BULK INGREDIENT,CALCIUM SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-200_0fdea350-bea8-4421-b5ea-bd93550b19b4,55977-200,BULK INGREDIENT,CALCIUM SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-300_3c94bc4b-d7ba-42c1-900b-895dc4b24210,55977-300,BULK INGREDIENT,CALCIUM SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-600_196f54b3-2b16-470d-9f90-a4858a36d695,55977-600,BULK INGREDIENT,CALCIUM SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-601_788255b3-20d2-4993-b518-a79266b2d73d,55977-601,BULK INGREDIENT,SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-602_dafb8013-ac9d-43ca-9020-5084e267edde,55977-602,BULK INGREDIENT,SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-802_1dc0c6d7-ed90-11e1-e054-00144ff88e88,55977-802,BULK INGREDIENT,SENNOSIDES,POWDER,20150820,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-900_6fc2a0c5-d25b-4c29-b109-63607a4decf4,55977-900,BULK INGREDIENT,SENNOSIDES,POWDER,19961001,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55977-902_1dc05ebe-0a71-03f3-e054-00144ff88e88,55977-902,BULK INGREDIENT,SENNOSIDES,POWDER,20150820,,BULK INGREDIENT,SHASHI PHYTOCHEMICAL INDUSTRIES,SENNOSIDES,1,kg/kg,
55984-0326_5dfa500e-b6e5-4502-a6c0-220e16be98fa,55984-0326,BULK INGREDIENT,Azithromycin Monohydrate,POWDER,20100120,,BULK INGREDIENT,Sandoz Industrial Products S.A,AZITHROMYCIN MONOHYDRATE,10,kg/10kg,
56087-0301_4a659202-d176-752a-e054-00144ff88e88,56087-0301,BULK INGREDIENT,TILETAMINE HYDROCHLORIDE,LIQUID,20170310,,BULK INGREDIENT,NORCHIM,TILETAMINE HYDROCHLORIDE,1,kg/kg,
56087-0302_4a659202-d179-752a-e054-00144ff88e88,56087-0302,BULK INGREDIENT,ZOLAZEPAM HYDROCHLORIDE,LIQUID,20170310,,BULK INGREDIENT,NORCHIM,ZOLAZEPAM HYDROCHLORIDE,1,kg/kg,
56087-5442_4a659202-d17d-752a-e054-00144ff88e88,56087-5442,BULK INGREDIENT,KETAMINE HYDROCHLORIDE,CREAM,20170310,,BULK INGREDIENT,NORCHIM,KETAMINE HYDROCHLORIDE,1,kg/kg,
56097-0145_3a6e83e4-8da2-4e48-b4af-db737e02477a,56097-0145,BULK INGREDIENT,KETOCONAZOLE,POWDER,20131202,,BULK INGREDIENT,Syntec Pharma Corp.,KETOCONAZOLE,1,kg/kg,
56097-0155_4a6dd174-4ecd-4f92-8370-d6fc4572c714,56097-0155,BULK INGREDIENT,CHLORAMPHENICOL,POWDER,20131202,,BULK INGREDIENT,Syntec Pharma Corp.,CHLORAMPHENICOL,1,kg/kg,
56097-0225_755e81cc-3a9d-4bed-8a8d-246abb43bda8,56097-0225,BULK INGREDIENT,NIFEDIPINE,POWDER,20140129,,BULK INGREDIENT,Syntec Pharma Corp.,NIFEDIPINE,1,kg/kg,
56097-0419_45615e89-8d84-5d97-e054-00144ff8d46c,56097-0419,BULK INGREDIENT,CHOLESTYRAMINE,POWDER,20170102,,BULK INGREDIENT,Syntec Pharma Corp.,CHOLESTYRAMINE,1,kg/kg,
56097-0456_13eb474a-d398-476f-9480-129dea738fdd,56097-0456,BULK INGREDIENT,LIDOCAINE,POWDER,20141105,,BULK INGREDIENT,Syntec Pharma Corp.,LIDOCAINE,1,kg/kg,
56097-0528_4561d699-591f-0ccc-e054-00144ff88e88,56097-0528,BULK INGREDIENT,SAPROPTERIN DIHYDROCHLORIDE,POWDER,20131202,,BULK INGREDIENT,Syntec Pharma Corp.,SAPROPTERIN DIHYDROCHLORIDE,1,kg/kg,
56097-0560_24a2cd35-403b-4164-b071-61de3be007bd,56097-0560,BULK INGREDIENT,PROGESTERONE,POWDER,20140129,,BULK INGREDIENT,Syntec Pharma Corp.,PROGESTERONE,1,kg/kg,
56097-0592_45621347-f491-283c-e054-00144ff8d46c,56097-0592,BULK INGREDIENT,Nitazoxanide,POWDER,20131202,,BULK INGREDIENT,Syntec Pharma Corp.,NITAZOXANIDE,1,kg/kg,
56125-030_f0ac77e7-78fb-4e8a-8fb5-67114d3ef983,56125-030,BULK INGREDIENT,NIFEDIPINE,"TABLET, FILM COATED, EXTENDED RELEASE",20021101,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,NIFEDIPINE,30,mg/1,
56125-060_f0ac77e7-78fb-4e8a-8fb5-67114d3ef983,56125-060,BULK INGREDIENT,NIFEDIPINE,"TABLET, FILM COATED, EXTENDED RELEASE",20021101,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,NIFEDIPINE,60,mg/1,
56125-201_2ed5936e-a7a0-40a9-99c3-bc32576126fe,56125-201,BULK INGREDIENT,NAPROXEN SODIUM,"TABLET, FILM COATED, EXTENDED RELEASE",19960401,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,NAPROXEN SODIUM,375,mg/1,
56125-202_2ed5936e-a7a0-40a9-99c3-bc32576126fe,56125-202,BULK INGREDIENT,NAPROXEN SODIUM,"TABLET, FILM COATED, EXTENDED RELEASE",19960401,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,NAPROXEN SODIUM,500,mg/1,
56125-203_2ed5936e-a7a0-40a9-99c3-bc32576126fe,56125-203,BULK INGREDIENT,NAPROXEN SODIUM,"TABLET, FILM COATED, EXTENDED RELEASE",19960401,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,NAPROXEN SODIUM,750,mg/1,
56125-252_b564252f-47b2-4d3f-90e2-39dab6ea9911,56125-252,BULK INGREDIENT,Tizanidine Hydrochloride,"CAPSULE, GELATIN COATED",20120206,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,TIZANIDINE HYDROCHLORIDE,2,mg/1,
56125-254_b564252f-47b2-4d3f-90e2-39dab6ea9911,56125-254,BULK INGREDIENT,Tizanidine Hydrochloride,"CAPSULE, GELATIN COATED",20120206,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,TIZANIDINE HYDROCHLORIDE,4,mg/1,
56125-256_b564252f-47b2-4d3f-90e2-39dab6ea9911,56125-256,BULK INGREDIENT,Tizanidine Hydrochloride,"CAPSULE, GELATIN COATED",20120206,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,TIZANIDINE HYDROCHLORIDE,6,mg/1,
56125-427_57e89621-e70c-4018-a4fa-dc82266d0ed2,56125-427,BULK INGREDIENT,dalfampridine,"TABLET, FILM COATED, EXTENDED RELEASE",20100301,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,DALFAMPRIDINE,10,mg/1,
56125-631_093b095b-78e5-4801-968d-55230bb83ec7,56125-631,BULK INGREDIENT,APREPITANT,CAPSULE,20030326,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,APREPITANT,40,mg/1,
56125-632_093b095b-78e5-4801-968d-55230bb83ec7,56125-632,BULK INGREDIENT,APREPITANT,CAPSULE,20030326,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,APREPITANT,80,mg/1,
56125-633_093b095b-78e5-4801-968d-55230bb83ec7,56125-633,BULK INGREDIENT,APREPITANT,CAPSULE,20030326,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,APREPITANT,125,mg/1,
56125-634_9dcb1a65-1d75-478d-aa6a-8651ce78f84f,56125-634,BULK INGREDIENT,aprepitant,"POWDER, FOR SUSPENSION",20150930,,BULK INGREDIENT,Alkermes Pharma Ireland Limited,APREPITANT,22,kg/22kg,
56125-800_eeec15bb-2ae5-4956-9629-83dde8b135b6,56125-800,BULK INGREDIENT,SIROLIMUS,SUSPENSION,20000825,,DRUG FOR FURTHER PROCESSING,Alkermes Pharma Ireland Limited,SIROLIMUS,150,g/kg,
56161-101_3b2f4d8e-155c-5f0f-e054-00144ff88e88,56161-101,BULK INGREDIENT,Doxorubicin Hydrochloride,POWDER,19881208,,BULK INGREDIENT,"MicroBiopharm Japan Co., Ltd.",DOXORUBICIN HYDROCHLORIDE,600,g/600g,
56161-202_3f201c7b-7f5e-7071-e054-00144ff8d46c,56161-202,BULK INGREDIENT,Calcitriol,POWDER,20051121,,BULK INGREDIENT,"MicroBiopharm Japan Co., Ltd",CALCITRIOL,1.6,g/1.6g,
57218-112_ab640c0b-d144-4235-8382-e33dea9aa9ed,57218-112,BULK INGREDIENT,Ephedrine hydrochloride,POWDER,19950101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,EPHEDRINE HYDROCHLORIDE,1,kg/kg,
57218-151_2b5867d5-870d-4b00-b223-24f278ef86d3,57218-151,BULK INGREDIENT,Ephedrine,POWDER,20050101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,EPHEDRINE,1,kg/kg,
57218-153_a7fe65fa-ae2b-4dc0-a9b7-24cba5ae4c55,57218-153,BULK INGREDIENT,Ephedrine hemihydrate,POWDER,20050101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,EPHEDRINE HEMIHYDRATE,1,kg/kg,
57218-312_91431b69-f196-41b2-aa49-01a90115f56f,57218-312,BULK INGREDIENT,Alprazolam,POWDER,20080101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,ALPRAZOLAM,1,kg/kg,
57218-500_ceb203db-7fb6-4cb2-93c4-7674108afe0a,57218-500,BULK INGREDIENT,Pseudoephedrine,POWDER,20030101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PSEUDOEPHEDRINE,1,kg/kg,
57218-511_9e1605c0-fea9-426f-ac37-762f9a55e8d1,57218-511,BULK INGREDIENT,Ephedrine Sulfate,POWDER,20050101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,EPHEDRINE SULFATE,1,kg/kg,
57218-530_a9de999f-12b2-46a8-a67a-b48dcf9c39f9,57218-530,BULK INGREDIENT,Pseudoephedrine sulfate,POWDER,19950101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PSEUDOEPHEDRINE SULFATE,1,kg/kg,
57218-710_f254c3ec-4dc6-4629-93ca-43972bce01de,57218-710,BULK INGREDIENT,Phenylephrine,POWDER,20070101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLEPHRINE,1,kg/kg,
57218-731_71623be4-0a80-43ae-818b-565053bf64c2,57218-731,BULK INGREDIENT,Phenylpropanolamine,POWDER,19950601,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLPROPANOLAMINE,1,kg/kg,
57218-732_99b551d9-39bc-4cda-a1db-85b81dee3cb3,57218-732,BULK INGREDIENT,Phenylpropanolamine,POWDER,19950601,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLPROPANOLAMINE,1,kg/kg,
57218-733_72ead4c8-d950-40fc-ba6c-93dc206bdf63,57218-733,BULK INGREDIENT,Phenylpropanolamine Hydrochloride,POWDER,19950601,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLPROPANOLAMINE HYDROCHLORIDE,1,kg/kg,
57218-734_68f6d75b-0fbd-4fc5-aee1-4fa7b693c79b,57218-734,BULK INGREDIENT,PHENYLPROPANOLAMINE HYDROCHLORIDE,POWDER,19950601,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLPROPANOLAMINE HYDROCHLORIDE,1,kg/kg,
57218-740_24a329bc-81d8-4bbc-9db3-8a586df0a778,57218-740,BULK INGREDIENT,Meglumine,POWDER,20121201,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,MEGLUMINE,1,kg/kg,
57218-745_cc7f705f-4bfb-4178-9668-0e9e8ef08fc7,57218-745,BULK INGREDIENT,PHENACEMIDE,POWDER,20161231,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENACEMIDE,1,kg/kg,
57218-750_97d1640c-b567-498e-978b-2d150f1a7c02,57218-750,BULK INGREDIENT,METARAMINOL BITARTRATE,POWDER,20170115,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,METARAMINOL BITARTRATE,1,kg/kg,
57218-755_3207ea3c-93c2-4989-86a7-0eecf82d05ed,57218-755,BULK INGREDIENT,PYRILAMINE MALEATE,POWDER,20170602,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PYRILAMINE MALEATE,1,kg/kg,
57218-760_6bd25693-bf5c-4df6-ab84-f6de07313ba3,57218-760,BULK INGREDIENT,DEXTROMETHORPHAN HYDROBROMIDE,POWDER,20170228,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,DEXTROMETHORPHAN HYDROBROMIDE,1,kg/kg,
57218-765_b5cf72ff-4aee-455b-b615-41e9678250ba,57218-765,BULK INGREDIENT,CHLORPHENIRAMINE MALEATE,POWDER,20170418,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,CHLORPHENIRAMINE MALEATE,1,kg/kg,
57218-766_a6b20988-a5a2-449c-ab4e-0a8afba5ac7f,57218-766,BULK INGREDIENT,BROMPHENIRAMINE MALEATE,POWDER,20170418,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,BROMPHENIRAMINE MALEATE,1,kg/kg,
57218-767_ba8cff63-6885-4502-9915-7fd8ebbae4ea,57218-767,BULK INGREDIENT,PHENOBARBITAL,POWDER,20170524,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENOBARBITAL,1,kg/kg,
57218-801_d375dfe9-48c5-40bc-8e19-ebbf469bcaa6,57218-801,BULK INGREDIENT,Pseudoephedrine hydrochloride,POWDER,19950101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PSEUDOEPHEDRINE HYDROCHLORIDE,1,kg/kg,
57218-810_9520ac0c-9b2d-46d0-8a6e-187f3a08f27f,57218-810,BULK INGREDIENT,Phenylephrine hydrochloride,POWDER,20050101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLEPHRINE HYDROCHLORIDE,1,kg/kg,
57218-820_f1134df4-1c22-4964-a6af-63e6ff83e4dc,57218-820,BULK INGREDIENT,Phenylephrine bitartrate,POWDER,20120101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,PHENYLEPHRINE BITARTRATE,1,kg/kg,
57218-900_b27d6b00-0dc5-4adc-8688-86e381703877,57218-900,BULK INGREDIENT,Triprolidine hydrochloride,POWDER,20030101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,TRIPROLIDINE HYDROCHLORIDE,1,kg/kg,
57218-930_4bc77656-db5e-43b1-a4b8-a186069c8c50,57218-930,BULK INGREDIENT,"4-METHYL-5-PHENYL-2-OXAZOLIDINONE, CIS-",POWDER,20140110,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,"4-METHYL-5-PHENYL-2-OXAZOLIDINONE, CIS-",1,kg/kg,
57218-931_15a773c0-ba3d-47ce-a0fc-6df296d03ab4,57218-931,BULK INGREDIENT,"4-METHYL-5-PHENYL-2-OXAZOLIDINONE, (4S,5R)-",POWDER,20140110,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,"4-METHYL-5-PHENYL-2-OXAZOLIDINONE, (4S,5R)-",1,kg/kg,
57218-935_e1eb1b60-dde3-4a6e-a8f5-42f4320f8baa,57218-935,BULK INGREDIENT,Ciprofloxacin hydrochloride,POWDER,20140111,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,CIPROFLOXACIN HYDROCHLORIDE,1,kg/kg,
57218-936_902702b7-80cf-4ae4-bf13-63366d390893,57218-936,BULK INGREDIENT,Amlodipine Besylate,POWDER,20170807,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,AMLODIPINE BESYLATE,1,kg/kg,
57218-950_d56e3793-15e9-4724-b36a-734cacd0f4e9,57218-950,BULK INGREDIENT,Lorazepam,POWDER,20090101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,LORAZEPAM,1,kg/kg,
57218-955_df2f70dc-4e77-4502-b8ce-426833fcd283,57218-955,BULK INGREDIENT,Meglumine,POWDER,20120101,,BULK INGREDIENT,Malladi Drugs & Pharmaceuticals Limited,MEGLUMINE,1,kg/kg,
57246-001_101608e7-8259-4335-a3b7-465b9b70fdea,57246-001,BULK INGREDIENT,Leuprolide Acetate,POWDER,20130823,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"DAP Pharmaceuticals, LLC",LEUPROLIDE ACETATE,0.5,g/.5g,
57262-300_9b84f07f-ac22-4695-8452-e9253a5eb608,57262-300,BULK INGREDIENT,Heparin Sodium,POWDER,19880926,,BULK INGREDIENT,"Celsus Laboratories, Inc.",HEPARIN SODIUM,1,g/g,
57289-6010_98c4faf3-ae95-4804-937a-ef59b97d250c,57289-6010,BULK INGREDIENT,Pelargonium Sidoides,POWDER,20121229,,DRUG FOR FURTHER PROCESSING,Dr Willmar Schwabe GmbH and Co,PELARGONIUM SIDOIDES ROOT,1,[hp_X]/kg,
57297-029_b3c14157-dd71-4771-a8db-b59b85bcf33e,57297-029,BULK INGREDIENT,rifaximin,POWDER,20100601,,BULK INGREDIENT,LUPIN LIMITED,RIFAXIMIN,1,kg/kg,
57297-140_228dd75b-d447-42e0-84ad-0acb38d85daf,57297-140,BULK INGREDIENT,Pirfenidone,POWDER,20170130,,BULK INGREDIENT,LUPIN LIMITED,PIRFENIDONE,1,kg/kg,
57297-144_6f207260-9714-43c1-a225-9299d9533436,57297-144,BULK INGREDIENT,Ferric Citrate,POWDER,20170608,,BULK INGREDIENT,LUPIN LIMITED,FERRIC CITRATE ANHYDROUS,1,kg/kg,
57297-330_3efef61d-2e19-4692-a89e-0312103349c7,57297-330,BULK INGREDIENT,Ziprasidone,POWDER,20170320,,BULK INGREDIENT,LUPIN LIMITED,ZIPRASIDONE HYDROCHLORIDE,1,kg/kg,
57297-400_e683e37a-1c69-442a-8e24-f66417a6b4da,57297-400,BULK INGREDIENT,Cefprozil,POWDER,20160225,,BULK INGREDIENT,LUPIN LIMITED,CEFPROZIL,1,kg/kg,
57297-444_3cbe98fc-72dd-493b-898c-b68b5a0b311c,57297-444,BULK INGREDIENT,Rifampin,POWDER,19980430,,BULK INGREDIENT,LUPIN LIMITED,RIFAMPIN,1,kg/kg,
57297-511_b63de777-0cf0-491b-a259-e6088db85704,57297-511,BULK INGREDIENT,Lisinopril,POWDER,20001018,,BULK INGREDIENT,LUPIN LIMITED,LISINOPRIL,1,kg/kg,
57297-600_8834f78f-dc5f-4d27-847d-ffc9b071f18b,57297-600,BULK INGREDIENT,Ceftriaxone Sodium Sterile,POWDER,20020301,,BULK INGREDIENT,LUPIN LIMITED,CEFTRIAXONE SODIUM,1,kg/kg,
57298-050_c9e4fbb7-1a9a-49a6-a9e7-6add8dc5a04d,57298-050,BULK INGREDIENT,Acetaminophen,POWDER,20000501,,DRUG FOR FURTHER PROCESSING,Adare Pharmaceuticals Srl,ACETAMINOPHEN,1,kg/kg,
57298-051_feba414e-829c-4590-a45c-9facbc8a2ba1,57298-051,BULK INGREDIENT,ACETAMINOPHEN,POWDER,20120301,,DRUG FOR FURTHER PROCESSING,Adare Pharmaceuticals Srl,ACETAMINOPHEN,1,kg/kg,
57298-501_568e0f96-ff03-4a9b-b9c1-8d28fca59417,57298-501,BULK INGREDIENT,"Pancrelipase Lipase, Pancrelipase Protease and Pancrelipase Amylase","CAPSULE, DELAYED RELEASE",20120301,,DRUG FOR FURTHER PROCESSING,Adare Pharmaceuticals Srl,PANCRELIPASE LIPASE; PANCRELIPASE PROTEASE; PANCRELIPASE AMYLASE,23000; 46000; 46000,[USP'U]/1; [USP'U]/1; [USP'U]/1,
57298-502_5ae47451-a5fa-4f2e-ad5b-d6ce6dbe904e,57298-502,BULK INGREDIENT,"Pancrelipase Lipase, Pancrelipase Protease and Pancrelipase Amylase","CAPSULE, DELAYED RELEASE",20120301,,DRUG FOR FURTHER PROCESSING,Adare Pharmaceuticals Srl,PANCRELIPASE LIPASE; PANCRELIPASE PROTEASE; PANCRELIPASE AMYLASE,13800; 27600; 27600,[USP'U]/1; [USP'U]/1; [USP'U]/1,
57298-503_5ae47451-a5fa-4f2e-ad5b-d6ce6dbe904e,57298-503,BULK INGREDIENT,"Pancrelipase Lipase, Pancrelipase Protease and Pancrelipase Amylase","CAPSULE, DELAYED RELEASE",20120301,,DRUG FOR FURTHER PROCESSING,Adare Pharmaceuticals Srl,PANCRELIPASE LIPASE; PANCRELIPASE PROTEASE; PANCRELIPASE AMYLASE,20700; 41400; 41400,[USP'U]/1; [USP'U]/1; [USP'U]/1,
57317-350_3698442f-8028-4078-a00a-dd5dd0e5737b,57317-350,BULK INGREDIENT,ZINC OXIDE,"POWDER, FOR SUSPENSION",20150620,,DRUG FOR FURTHER PROCESSING,"Daito Kasei Kogyo Co.,Ltd.",ZINC OXIDE,960,g/kg,
57317-650_101a89c7-f1a1-4002-ab87-8d2a46f635df,57317-650,BULK INGREDIENT,ZINC OXIDE,SUSPENSION,20150617,,DRUG FOR FURTHER PROCESSING,"Daito Kasei Kogyo Co.,Ltd.",ZINC OXIDE,460,g/kg,
